"","INSTNM","CITY","INSTURL","Ranking","ADM_RATE","CONTROL","HIGHDEG","FAMINC"
"1","A T Still University of Health Sciences","Kirksville","WWW.ATSU.EDU","> 230","NULL","Private nonprofit","Graduate degree","PrivacySuppressed"
"2","Aaniiih Nakoda College","Harlem","www.ancollege.edu","> 230","NULL","Public","Associate degree","17521.021978"
"3","Aaron's Academy of Beauty","Waldorf","www.aaronsacademyofbeauty.com","> 230","NULL","Private for-profit","Certificate degree","31411.678571"
"4","ABCO Technology","Inglewood","www.abcotechnology.edu","> 230","NULL","Private for-profit","Certificate degree","21244.734694"
"5","Abcott Institute","Southfield","www.abcott.edu","> 230","NULL","Private for-profit","Certificate degree","11655.583333"
"6","Abdill Career College Inc","Medford","www.abdill.com","> 230","NULL","Private for-profit","Certificate degree","18410.072581"
"7","Abilene Christian University","Abilene","www.acu.edu","> 230","0.5089","Private nonprofit","Graduate degree","81718.865682"
"8","Abington Memorial Hospital Dixon School of Nursing","Willow Grove","www.amhdixonson.org","> 230","NULL","Private nonprofit","Certificate degree","57226.621622"
"9","Abraham Baldwin Agricultural College","Tifton","www.abac.edu","> 230","0.6561","Public","Bachelor's degree","49275.831215"
"10","Abraham Lincoln University","Los Angeles","www.alu.edu/","> 230","NULL","Private for-profit","Graduate degree","NULL"
"11","Academia Serrant Inc","Ponce","www.serrant.edu","> 230","NULL","Private for-profit","Certificate degree","7270.7701863"
"12","Academy College","Bloomington","www.academycollege.edu","> 230","NULL","Private for-profit","Bachelor's degree","39173.789474"
"13","Academy Di Capelli-School of Cosmetology","Wallingford","www.academydicapelli.com","> 230","NULL","Private for-profit","Certificate degree","25685.13253"
"14","Academy di Firenze","Jerome","www.academydifirenze.com","> 230","NULL","Private for-profit","Certificate degree","PrivacySuppressed"
"15","Academy for Careers and Technology","Mullins","www.mcact.org","> 230","NULL","Public","Certificate degree","18584.682927"
"16","Academy for Five Element Acupuncture","Gainesville","www.acupuncturist.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"17","Academy for Jewish Religion-California","Los Angeles","www.ajrca.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"18","Academy for Nursing and Health Occupations","West Palm Beach","www.ANHO.edu","> 230","NULL","Private nonprofit","Associate degree","24874.173077"
"19","Academy for Salon Professionals","Santa Clara","www.southbayacademyforsalonpros.com/","> 230","NULL","Private for-profit","Certificate degree","33085.636364"
"20","Academy for Salon Professionals","Northridge","www.academyla.com/","> 230","NULL","Private for-profit","Certificate degree","30780.880597"
"21","Academy of Art University","San Francisco","www.academyart.edu","> 230","NULL","Private for-profit","Graduate degree","37907.316216"
"22","Academy of Career Training","Kissimmee","academyofcareertraining.com","> 230","NULL","Private for-profit","Certificate degree","16613.952128"
"23","Academy of Careers and Technology","Beckley","www.wvact.net","> 230","NULL","Public","Certificate degree","20926.985915"
"24","Academy of Chinese Culture and Health Sciences","Oakland","www.acchs.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"25","Academy of Cosmetology","Bozeman","www.academycosmetology.com","> 230","NULL","Private for-profit","Certificate degree","44823.633333"
"26","Academy of Cosmetology","Merritt Island","FLORIDACOSMETOLOGYSCHOOLS.COM","> 230","NULL","Private for-profit","Certificate degree","14579.102151"
"27","Academy of Cosmetology","Janesville","www.cosmetologycareer.net/","> 230","NULL","Private for-profit","Certificate degree","21340.533333"
"28","Academy of Cosmetology and Esthetics","Nevada","acosmetology.com","> 230","NULL","Private for-profit","Certificate degree","24466.675676"
"29","Academy of Cosmetology and Esthetics NYC","Staten Island","www.theacademynyc.com","> 230","NULL","Private for-profit","Certificate degree","40646.065789"
"30","Academy of Esthetics and Cosmetology","San Fernando","www.aecosmetology.com","> 230","NULL","Private for-profit","Certificate degree","24578.340909"
"31","Academy of Hair Design-Beaumont","Beaumont","academyhairdesign.net","> 230","NULL","Private for-profit","Certificate degree","14385.85"
"32","Academy of Hair Design-Grenada","Grenada","www.academyofhair.com/grenada-campus","> 230","NULL","Private for-profit","Certificate degree","17380.288136"
"33","Academy of Hair Design-Jackson","Jackson","www.academyofhair.com","> 230","NULL","Private for-profit","Certificate degree","17380.288136"
"34","Academy of Hair Design-Jasper","Jasper","lufkinhairdesign.com","> 230","NULL","Private for-profit","Certificate degree","18045.622857"
"35","Academy of Hair Design-Las Vegas","Las Vegas","www.ahdvegas.com/","> 230","NULL","Private for-profit","Certificate degree","33011.740541"
"36","Academy of Hair Design-Lufkin","Lufkin","lufkinhairdesign.com","> 230","NULL","Private for-profit","Certificate degree","18045.622857"
"37","Academy of Hair Design-Oklahoma City","Oklahoma City","www.academyofhairdesignok.com","> 230","NULL","Private for-profit","Certificate degree","30053.191919"
"38","Academy of Hair Design-Pearl","Pearl","www.academyofhair.com","> 230","NULL","Private for-profit","Certificate degree","29996.737705"
"39","Academy of Hair Design-Salem","Salem","academyofhairdesign.info","> 230","NULL","Private for-profit","Certificate degree","13096"
"40","Academy of Hair Design-Springfield","Springfield","aohd.com/","> 230","NULL","Private for-profit","Certificate degree","27502.579661"
"41","Academy of Hair Technology","Greenville","www.hairchamps.com","> 230","NULL","Private for-profit","Certificate degree","24551.972973"
"42","Academy of Interactive Entertainment","Seattle","www.theaie.us","> 230","0.7264","Private nonprofit","Certificate degree","54371.742574"
"43","Academy of Interactive Entertainment","Lafayette","www.theaie.us/","> 230","0.7128","Private nonprofit","Certificate degree","46295.559524"
"44","Academy of Massage and Bodywork","Bear","www.massage-academy.com","> 230","NULL","Private for-profit","Certificate degree","35230.415385"
"45","Academy of Natural Therapy Inc","Greeley","www.natural-therapy.com","> 230","NULL","Private for-profit","Associate degree","28741.126761"
"46","Academy of Professional Cosmetology","Rogers","www.apcschools.com","> 230","NULL","Private for-profit","Certificate degree","21930.62963"
"47","Academy of Salon and Spa","Fort Smith","www.academysalonspa.com","> 230","NULL","Private for-profit","Certificate degree","22261.547009"
"48","Academy of Salon Professionals","Sedalia","www.academyofsalonprofessionals.com/","> 230","NULL","Private for-profit","Certificate degree","26523.571429"
"49","Academy of Vocal Arts","Philadelphia","www.avaopera.org","> 230","NULL","Private nonprofit","Graduate degree","PrivacySuppressed"
"50","Acaydia School of Aesthetics","Provo","www.acaydia.com","> 230","NULL","Private for-profit","Certificate degree","30622.295082"
"51","Access Careers","Hempstead","www.accesscareers.net","> 230","NULL","Private for-profit","Certificate degree","19552"
"52","Ace Cosmetology and Barber Training Center","Waterbury","acecosmetologybarbertraining.com","> 230","NULL","Private for-profit","Certificate degree","13406.888889"
"53","Ace Institute of Technology","New York","www.acecareer.edu","> 230","NULL","Private for-profit","Certificate degree","20541.659864"
"54","Acupuncture and Integrative Medicine College-Berkeley","Berkeley","https://www.aimc.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"55","Acupuncture and Massage College","Miami","WWW.AMCOLLEGE.edu","> 230","NULL","Private for-profit","Graduate degree","23976.776596"
"56","Adams State University","Alamosa","www.adams.edu","> 230","0.9857","Public","Graduate degree","48770.020087"
"57","Adelphi University","Garden City","www.adelphi.edu/","147","0.7029","Private nonprofit","Graduate degree","77136.406603"
"58","Adirondack Beauty School","Glens Falls","www.adirondackbeautyschool.org","> 230","NULL","Private for-profit","Certificate degree","28492.034483"
"59","Adirondack Community College","Queensbury","www.sunyacc.edu","> 230","NULL","Public","Associate degree","43795.180404"
"60","Adler Graduate School","Richfield","www.alfredadler.edu","> 230","NULL","Private nonprofit","Graduate degree","PrivacySuppressed"
"61","Adler University","Chicago","www.adler.edu","> 230","NULL","Private nonprofit","Graduate degree","NULL"
"62","Adrian's College of Beauty Turlock","Turlock","www.adrians.edu","> 230","NULL","Private for-profit","Certificate degree","20408.474138"
"63","Adrian College","Adrian","www.adrian.edu","> 230","0.5841","Private nonprofit","Graduate degree","78517.224121"
"64","Adult and Community Education-Hudson","Columbus","www.ccsoh.us/ACE.aspx","> 230","1","Public","Certificate degree","25062.844444"
"65","Adult and Continuing Education-BCTS","Hackensack","bcts.bergen.org/index.php/adult-ed-main-page","> 230","NULL","Public","Certificate degree","31285.231579"
"66","Advance Beauty College","Garden Grove","www.advancebeautycollege.com","> 230","NULL","Private for-profit","Certificate degree","8113.7357414"
