"","INSTNM","Total","crime"
"1","Alabama A & M University",6001,10
"2","University of Alabama at Birmingham",20902,35
"3","Amridge University",675,0
"4","University of Alabama in Huntsville",9101,18
"5","Alabama State University",4760,23
"6","The University of Alabama",38563,70
"7","Central Alabama Community College",1835,1
"8","Athens State University",3114,0
"9","Auburn University at Montgomery",4894,3
"10","Auburn University",29776,96
"11","Birmingham Southern College",1283,10
"12","Chattahoochee Valley Community College",1424,0
"13","South University-Montgomery",453,0
"14","Enterprise State Community College",1778,0
"15","Coastal Alabama Community College",4968,6
"16","Faulkner University",3350,0
"17","Gadsden State Community College",4979,6
"18","New Beginning College of Cosmetology",83,0
"19","George C Wallace Community College-Dothan",4645,0
"20","George C Wallace State Community College-Hanceville",5301,0
"21","George C Wallace State Community College-Selma",1471,2
"22","Herzing University-Birmingham",551,0
"23","Huntingdon College",1102,8
"24","Heritage Christian University",89,0
"25","J. F. Drake State Community and Technical College",752,0
"26","J F Ingram State Technical College",449,0
"27","Jacksonville State University",8567,24
"28","Jefferson State Community College",8840,0
"29","John C Calhoun State Community College",9861,0
"30","Judson College",315,2
"31","Lawson State Community College-Birmingham Campus",3248,2
"32","University of West Alabama",4646,2
"33","Lurleen B Wallace Community College",1838,0
"34","Marion Military Institute",446,2
"35","Miles College",1650,5
"36","University of Mobile",1604,1
"37","University of Montevallo",2717,5
"38","Northwest-Shoals Community College",3440,0
"39","University of North Alabama",7204,12
"40","Northeast Alabama Community College",2736,0
"41","Oakwood University",1711,19
"42","Reid State Technical College",392,0
"43","Bishop State Community College",3233,1
"44","Samford University",5509,40
"45","Selma University",324,0
"46","Shelton State Community College",4607,0
"47","Snead State Community College",2220,0
"48","University of South Alabama",15569,24
"49","Spring Hill College",1485,6
"50","Stillman College",677,1
"51","Talladega College",782,7
"52","H Councill Trenholm State Community College",1845,0
"53","Troy University",17521,22
"54","Tuskegee University",3289,16
"55","United States Sports Academy",242,0
"56","Bevill State Community College",3872,0
"57","University of Alaska Anchorage",15733,22
"58","Alaska Bible College",42,0
"59","University of Alaska Fairbanks",7664,12
"60","University of Alaska Southeast",2342,5
"61","Alaska Pacific University",509,1
"62","AVTEC-Alaska's Institute of Technology",967,0
"63","Charter College",2664,0
"64","Alaska Career College",430,1
"65","Empire Beauty School-Tucson",118,0
"66","Thunderbird School of Global Management",327,0
"67","American Institute of Trucking",244,0
"68","Carrington College-Phoenix North",519,0
"69","Carrington College-Mesa",500,0
"70","Carrington College-Tucson",269,0
"71","CollegeAmerica-Flagstaff",78,0
"72","Arizona Academy of Beauty-East",54,0
"73","Arizona Automotive Institute",785,2
"74","Brookline College-Phoenix",1148,0
"75","Arizona State University-Tempe",51164,77
"76","Arizona Western College",7557,14
"77","University of Arizona",43751,74
"78","Southwest University of Visual Arts-Tucson",129,0
"79","Central Arizona College",5405,3
"80","Charles of Italy Beauty College",51,0
"81","Cochise County Community College District",3907,0
"82","Empire Beauty School-Flagstaff",37,0
"83","Empire Beauty School-Chandler",66,0
"84","Cortiva Institute-Tucson",79,0
